Tag,Zeit,Hauptbuehne_Typ,Hauptbuehne_Titel,Hauptbuehne_Beschreibung,Amphitheater_Typ,Amphitheater_Titel,Amphitheater_Beschreibung,Pool_Typ,Pool_Titel,Pool_Beschreibung
1,10:00,Hafen Sibenik,Speedboote,Bei Ankunft Obonjan Checkin,,,,,,
1,13:00,Hafen Sibenik,Fähre 1,Bei Ankunft Obonjan Checkin,,,,,,
1,14:30,Hafen Sibenik,Fähre 1,Bei Ankunft Obonjan Checkin,,,,,,
1,15:00,Hafen Sibenik,Speedboote,Bei Ankunft Obonjan Checkin,,,,,,
1,18:21,,,,Amphitheater,Eröffnung Zitadelle 2026,Willkommen in der Zitadelle,,,
1,21:00,,,,,,,Strandbar,DJ Party,Open End
2,07:30,Frühstück,Frühstück von 7:30 bis 10:30,Poolside Restaurant,,Yoga & Meditation,Morgensession am Strand,,,
2,08:00,,,,,,,Sport,Yoga,Strand
2,08:00,,,,,,,Sport,Fitness mit Bitfit,Fitness Area
2,10:00,Vortrag,Specter Desktop mit Schnurtz,Pavilion,,,,,,
2,11:00,Vortrag,Bitcoin für Beginner mit 21Bitcoin,Pavilion,,,,,,
2,12:00,Vortrag,,Pavilion,,,,,,
2,13:00,Pause,Mittagspause,,,,,,,
2,14:00,Vortrag,Netdiver,Pavilion,,,,,,
2,15:00,Vortrag,Abendessen,Pavilion,,,,,,
2,16:00,Vortrag,Filip,Pavilion,,,,,,
2,17:00,Vortrag,Bitcoin Adoption,Pavilion,,,,,,
3,07:30,Poolside Restaurant,Frühstück von 7:30 bis 10:30,,,,,,,
2,08:00,,,,,,,Sport,Yoga & Meditation,Morgensession am Strand
3,11:00,Panel,Bitcoin Mining,Erfahrungen & Insights,Workshop,Multisig Setups,Fortgeschrittene Sicherheit,Quiz,Vexl Quiz,Wissen testen & gewinnen
3,14:00,Panel,Bitcoin Adoption weltweit,Berichte aus aller Welt,Workshop,Nostr & Pareto,Dezentrale Medien,Freizeit,Pool Party,Entspannung & Spass
3,20:00,Party,Zitadelle Night,Die legendäre Bitcoin Party,Musik,Beach Vibes,DJ & Tanzen,Chill,Lounge Area,Entspannte Gespräche
4,07:30,Poolside Restaurant,Frühstück von 7:30 bis 10:30,Was wir gelernt haben,Frühstück,Letztes Frühstück,Gemeinsam starten,,,
4,10:30,Community,Open Space,Letzte Diskussionen,Foto,Gruppenfoto,Erinnerung festhalten,Vernetzung,Kontakte tauschen,Nostr & Co.
4,12:00,Abreise,Check-out,Verabschiedung,Abreise,Fähre,Zurück nach Šibenik,,,
